"age"	"attitude"	"points"	"gender"	"deep"	"stra"	"surf"
"1"	53	37	25	"F"	3.75	2.58333333333333	3.375
"2"	55	31	12	"M"	2.875	3.16666666666667	2.75
"3"	49	25	24	"F"	3.875	2.25	3.625
"4"	53	35	10	"M"	3.5	2.25	3.125
"5"	49	37	22	"M"	3.75	2.83333333333333	3.625
"6"	38	38	21	"F"	4.875	2.41666666666667	3.625
"7"	50	35	21	"M"	4.25	1.91666666666667	2.25
"8"	37	29	31	"F"	3.5	2.83333333333333	4
"9"	37	38	24	"M"	4.5	2.16666666666667	4.25
"10"	42	21	26	"F"	4	3	3.5
"11"	37	39	31	"M"	3.5	2.66666666666667	3.625
"12"	34	38	31	"F"	3.75	2.41666666666667	4.75
"13"	34	24	23	"F"	4.375	2.25	3.625
"14"	34	30	25	"F"	3.5	2.75	3.5
"15"	35	26	21	"M"	4.375	2.33333333333333	1.75
"16"	33	41	31	"F"	3.5	2.33333333333333	3.875
"17"	32	26	20	"F"	4.125	2.91666666666667	1.375
"18"	44	26	22	"F"	3.625	2.5	3.25
"19"	29	17	9	"M"	4	3.75	3
"20"	30	27	24	"F"	4.25	2.75	3.75
"21"	27	39	28	"M"	4	2.33333333333333	2.625
"22"	29	34	30	"M"	4	2.41666666666667	2.375
"23"	31	27	24	"F"	4.375	3	3.625
"24"	37	23	9	"F"	4	2.41666666666667	2.75
"25"	26	37	26	"F"	3.75	2.83333333333333	1.75
"26"	26	44	32	"F"	4.5	3.16666666666667	3.25
"27"	30	41	32	"M"	4.125	3	4
"28"	33	37	33	"F"	3.75	2	3.625
"29"	33	25	29	"F"	3.25	3.5	2.875
"30"	28	30	30	"M"	3.5	3.75	3
"31"	26	34	19	"M"	4.875	2.5	1.625
"32"	27	32	23	"F"	3.75	2.08333333333333	3.25
"33"	25	20	19	"F"	3.125	2.41666666666667	3.5
"34"	31	24	12	"F"	3.625	2.58333333333333	3
"35"	20	42	10	"M"	4.5	1.58333333333333	3.25
"36"	39	16	11	"F"	4.25	2.83333333333333	1.875
"37"	38	31	20	"M"	3.875	1.83333333333333	4.375
"38"	24	38	26	"M"	3.5	2.41666666666667	3.625
"39"	26	38	31	"M"	2.75	3.25	2.5
"40"	25	33	20	"M"	3.125	3.41666666666667	1.25
"41"	30	17	23	"F"	4.125	3.41666666666667	4
"42"	25	25	12	"F"	2.875	3.16666666666667	3
"43"	30	32	24	"M"	3.375	3.5	2.5
"44"	48	35	17	"F"	4.125	2.66666666666667	4.875
"45"	24	32	29	"F"	3.875	2.41666666666667	5
"46"	40	42	23	"F"	4.75	3.58333333333333	4.375
"47"	25	31	28	"M"	3.875	2.08333333333333	3.25
"48"	23	39	31	"F"	3.25	3.75	4
"49"	25	19	23	"F"	4.125	2.91666666666667	3.125
"50"	23	21	25	"F"	2.75	2.91666666666667	2.5
"51"	27	25	18	"M"	4.375	2.41666666666667	3.125
"52"	25	32	19	"M"	3.5	3	3.25
"53"	23	32	22	"M"	3	3.41666666666667	2.125
"54"	23	26	25	"F"	4.125	2.91666666666667	2.75
"55"	23	23	21	"F"	3.125	3.25	2.375
"56"	45	38	9	"F"	3.625	3.25	3.125
"57"	22	28	28	"F"	4.125	2.33333333333333	4
"58"	23	33	25	"F"	3	3.25	4
"59"	21	48	29	"M"	3.5	2.5	2.25
"60"	21	40	33	"M"	4.375	1.75	3.25
"61"	21	40	33	"F"	4.25	2.25	3.625
"62"	21	47	25	"F"	3.875	2.08333333333333	3.625
"63"	26	23	18	"F"	3.375	2.83333333333333	2.5
"64"	25	31	22	"F"	4.5	2.83333333333333	1.875
"65"	26	27	17	"F"	3.625	2.41666666666667	2
"66"	21	41	25	"M"	3.625	2.25	1.875
"67"	23	34	28	"F"	3.5	2.83333333333333	4
"68"	22	25	22	"F"	3.75	2.25	2.875
"69"	22	21	26	"F"	1.625	1.83333333333333	3.875
"70"	22	14	11	"F"	3.625	2.91666666666667	2.5
"71"	23	19	29	"F"	4.5	2.91666666666667	2.75
"72"	22	37	22	"M"	4.375	2.08333333333333	4.5
"73"	23	32	21	"M"	4.875	2.33333333333333	3.375
"74"	24	28	28	"M"	2.875	2.41666666666667	2.625
"75"	22	41	33	"F"	3.125	2.75	4.125
"76"	23	25	16	"F"	4	3.25	2.625
"77"	22	28	31	"M"	4.375	1.75	2.25
"78"	20	38	22	"M"	3.75	2.58333333333333	2.75
"79"	22	31	31	"M"	3.375	3.33333333333333	3
"80"	21	35	23	"M"	4.75	2.83333333333333	1.625
"81"	22	36	26	"F"	4.375	2.5	1.875
"82"	23	26	12	"F"	4.25	2.41666666666667	3.375
"83"	21	44	26	"M"	4.75	2.41666666666667	3.75
"84"	22	45	31	"M"	3.5	2.58333333333333	2.125
"85"	29	32	19	"M"	3.625	3	2.375
"86"	29	39	30	"F"	3.625	2	2.75
"87"	21	25	12	"F"	3.5	3.41666666666667	3.125
"88"	28	33	17	"M"	3.625	2.83333333333333	3.5
"89"	21	33	18	"F"	4.25	2.25	2.625
"90"	30	30	19	"F"	4	2.75	3.375
"91"	21	29	21	"F"	4.125	3.91666666666667	2.25
"92"	23	33	24	"M"	3.75	2.33333333333333	3
"93"	21	33	28	"F"	3.875	2.75	4
"94"	21	35	17	"F"	4	2.75	3.5
"95"	20	36	18	"F"	3.5	2.91666666666667	2.625
"96"	22	37	17	"M"	4.375	2.08333333333333	2.5
"97"	21	42	23	"M"	3.875	3.66666666666667	3.75
"98"	21	32	26	"M"	4.375	2.83333333333333	3.625
"99"	20	50	28	"F"	4.25	3.41666666666667	4.125
"100"	22	47	31	"M"	3.875	1.58333333333333	4.375
"101"	20	36	27	"F"	4.625	2.91666666666667	2.625
"102"	20	36	25	"F"	3.875	3	4
"103"	24	29	23	"M"	4	2.91666666666667	2.75
"104"	20	35	21	"F"	4.125	2.66666666666667	2.75
"105"	19	40	27	"F"	2.5	3	1.375
"106"	21	35	28	"F"	3.75	2.75	2.25
"107"	21	32	23	"F"	3.25	3.08333333333333	3.625
"108"	22	26	21	"F"	4.25	2.5	3.75
"109"	25	20	25	"F"	3.25	2.33333333333333	4
"110"	21	27	11	"F"	3.25	3	3.125
"111"	22	32	19	"F"	4.25	3	3.25
"112"	25	33	24	"F"	2.375	4	2.125
"113"	20	39	28	"F"	3.5	3.25	2.875
"114"	24	33	21	"M"	3	3.5	1.5
"115"	20	30	24	"F"	2.875	3.5	2.5
"116"	21	37	24	"M"	3.25	3.83333333333333	3.25
"117"	20	25	20	"F"	4	2.91666666666667	3.625
"118"	20	29	19	"F"	3.75	2.16666666666667	3.875
"119"	31	39	30	"M"	4.375	1.66666666666667	3.875
"120"	20	36	22	"F"	4.5	2.08333333333333	2.375
"121"	22	29	16	"F"	3.875	2.83333333333333	3
"122"	22	21	16	"F"	3.375	3.41666666666667	3.375
"123"	21	31	19	"M"	3.5	3.33333333333333	2.75
"124"	22	40	30	"M"	3.5	2.58333333333333	4.5
"125"	21	31	23	"F"	4.5	2.83333333333333	2.625
"126"	21	23	19	"F"	4.375	3.33333333333333	2.75
"127"	21	28	18	"F"	4.125	3	3.25
"128"	21	37	28	"F"	4.375	2.58333333333333	4.125
"129"	20	26	21	"F"	3.5	2.41666666666667	3.375
"130"	21	24	19	"F"	4	3.58333333333333	2.75
"131"	25	30	27	"F"	3.875	2.08333333333333	4.125
"132"	21	28	24	"M"	2.125	4.33333333333333	3.25
"133"	24	29	21	"F"	4.375	2.66666666666667	2.875
"134"	20	24	20	"F"	4	3	2.875
"135"	21	31	28	"M"	4.125	2.66666666666667	2.375
"136"	20	19	12	"F"	3.75	2.16666666666667	3.875
"137"	20	20	21	"F"	3.875	2.66666666666667	2.125
"138"	18	38	28	"F"	3.5	2.25	4
"139"	21	34	31	"F"	3.75	2.66666666666667	3.25
"140"	19	37	18	"F"	3.5	3.33333333333333	2.625
"141"	21	29	25	"F"	4.875	3.5	2.75
"142"	20	23	19	"F"	3.125	2.75	4
"143"	21	41	21	"M"	4.375	2	3
"144"	20	27	16	"F"	3.375	2.83333333333333	3.375
"145"	21	35	7	"F"	4	3.5	3.875
"146"	20	34	21	"F"	3.625	2.5	3.25
"147"	18	32	17	"F"	4.75	3.16666666666667	3.375
"148"	22	33	22	"M"	3.5	3.08333333333333	4.125
"149"	22	33	18	"F"	3.75	2.91666666666667	3.5
"150"	24	35	25	"M"	2.5	3.16666666666667	2
"151"	19	32	24	"F"	4.25	2.5	3.625
"152"	20	31	23	"F"	3.375	3.83333333333333	3.375
"153"	20	28	23	"F"	4.375	2.25	2.125
"154"	17	17	26	"F"	4.25	3.41666666666667	4.625
"155"	19	19	12	"M"	2.75	3.75	2.5
"156"	20	35	32	"F"	3	3	2.875
"157"	20	24	22	"F"	4	2.58333333333333	2.75
"158"	20	21	20	"F"	4.5	3.33333333333333	4
"159"	20	29	21	"F"	4.375	2.83333333333333	2.375
"160"	19	19	23	"F"	3.125	3	3.875
"161"	19	20	20	"F"	4.25	2.83333333333333	3.375
"162"	22	42	28	"F"	2.875	3.16666666666667	1.75
"163"	35	41	31	"M"	4	2.75	3
"164"	18	37	18	"F"	3.25	3.41666666666667	2.625
"165"	19	36	30	"F"	3.625	3	2.625
"166"	21	18	19	"M"	3.875	2.66666666666667	3.375
